player_id,full_name,team_id,position,start_cost,end_cost,now_cost,total_points,season_name,minutes,bonus,bonus_points,goals_scored,assists,selected_by,goals_conceded,clean_sheets,yellow_cards,red_cards,penalties_missed,saves,penalties_saved,avg_cost,roi
17745,Kasper Schmeichel,13,Goalkeeper,50.0,49.0,50,109.0,2016/17,2666.0,10.0,585.0,0.0,0.0,4.7,47.0,8.0,1.0,0.0,0.0,113.0,0.0,49.5,2.202020202020202
17745,Kasper Schmeichel,13,Goalkeeper,50.0,51.0,50,123.0,2017/18,2965.0,17.0,592.0,0.0,0.0,4.7,47.0,8.0,3.0,0.0,0.0,93.0,2.0,50.5,2.4356435643564356
11974,Eldin Jakupovic,13,Goalkeeper,40.0,39.0,43,2.0,2013/14,90.0,0.0,4.0,0.0,0.0,0.1,3.0,0.0,0.0,0.0,0.0,4.0,0.0,39.5,0.05063291139240506
11974,Eldin Jakupovic,13,Goalkeeper,40.0,40.0,43,11.0,2014/15,228.0,0.0,39.0,0.0,0.0,0.1,2.0,1.0,0.0,0.0,0.0,8.0,0.0,40.0,0.275
11974,Eldin Jakupovic,13,Goalkeeper,40.0,41.0,43,86.0,2016/17,1980.0,7.0,431.0,0.0,0.0,0.1,36.0,5.0,0.0,0.0,0.0,73.0,2.0,40.5,2.123456790123457
11974,Eldin Jakupovic,13,Goalkeeper,45.0,42.0,43,4.0,2017/18,180.0,0.0,36.0,0.0,0.0,0.1,6.0,0.0,0.0,0.0,0.0,8.0,0.0,43.5,0.09195402298850575
66797,Simon Mignolet,14,Goalkeeper,40.0,40.0,47,83.0,2010/11,2070.0,2.0,0.0,0.0,0.0,0.1,35.0,8.0,1.0,0.0,0.0,74.0,0.0,40.0,2.075
66797,Simon Mignolet,14,Goalkeeper,45.0,44.0,47,121.0,2011/12,2571.0,5.0,0.0,0.0,0.0,0.1,33.0,11.0,0.0,0.0,0.0,91.0,1.0,44.5,2.7191011235955056
66797,Simon Mignolet,14,Goalkeeper,50.0,53.0,47,140.0,2012/13,3420.0,2.0,0.0,0.0,0.0,0.1,54.0,11.0,1.0,0.0,0.0,155.0,0.0,51.5,2.7184466019417477
66797,Simon Mignolet,14,Goalkeeper,55.0,53.0,47,132.0,2013/14,3420.0,4.0,153.0,0.0,0.0,0.1,50.0,10.0,0.0,0.0,0.0,108.0,1.0,54.0,2.4444444444444446
66797,Simon Mignolet,14,Goalkeeper,55.0,54.0,47,149.0,2014/15,3225.0,6.0,604.0,0.0,0.0,0.1,43.0,14.0,0.0,0.0,0.0,89.0,2.0,54.5,2.7339449541284404
66797,Simon Mignolet,14,Goalkeeper,50.0,50.0,47,115.0,2015/16,3060.0,1.0,566.0,0.0,0.0,0.1,42.0,11.0,2.0,0.0,0.0,70.0,1.0,50.0,2.3
